,사고날짜,주/야 구분,사망자 수,부상자 수,시군구 코드,사고유형 코드
624,2019031703,야간,2,2,2008,32
625,2019031712,주간,1,3,1417,21
626,2019031718,야간,1,2,1335,22
627,2019031803,야간,1,1,1902,37
628,2019031805,야간,1,1,1122,01
629,2019031810,주간,1,2,1803,22
630,2019031812,주간,1,1,1623,22
631,2019031813,주간,1,2,1336,23
632,2019031817,주간,1,1,1802,01
633,2019031818,야간,1,1,2008,34
634,2019031819,야간,1,1,1617,03
635,2019031819,야간,1,1,1825,02
636,2019031820,야간,1,1,2605,22
637,2019031900,야간,1,1,1317,32
638,2019031900,야간,1,3,1514,22
639,2019031910,주간,1,1,1501,25
640,2019031913,주간,1,1,2102,37
641,2019031921,야간,1,2,1603,25
642,2019031922,야간,1,1,1115,05
643,2019032005,야간,1,2,1904,23
644,2019032005,야간,1,2,1209,22
645,2019032007,주간,1,1,2605,38
646,2019032008,주간,1,1,1723,22
647,2019032009,주간,1,1,1121,01
648,2019032013,주간,1,1,1111,05
649,2019032023,야간,1,1,2404,02
650,2019032103,야간,1,3,1116,25
651,2019032104,야간,1,3,1305,23
652,2019032107,주간,1,2,1832,01
653,2019032109,주간,1,1,1302,37
654,2019032110,주간,1,1,1334,32
655,2019032115,주간,1,1,1806,34
656,2019032121,야간,1,1,1605,23
657,2019032121,야간,1,1,1214,32
658,2019032203,야간,1,1,2303,01
659,2019032209,주간,1,1,1317,22
660,2019032211,주간,1,1,1913,23
661,2019032214,주간,1,5,1905,22
662,2019032217,주간,1,1,1309,32
663,2019032218,야간,1,1,1723,22
664,2019032219,야간,1,1,1924,25
665,2019032220,야간,1,1,1723,23
666,2019032222,야간,1,2,1720,32
667,2019032222,야간,1,3,1514,25
668,2019032307,주간,1,3,1806,21
669,2019032308,주간,1,2,1124,23
670,2019032310,주간,1,1,2201,01
671,2019032317,주간,1,1,1313,25
672,2019032317,주간,1,15,1325,23
673,2019032319,야간,1,1,1820,04
674,2019032320,야간,1,1,2202,22
675,2019032413,주간,1,1,2207,22
676,2019032505,야간,1,1,1501,01
677,2019032509,주간,1,1,1620,05
678,2019032515,주간,1,2,2024,21
679,2019032517,주간,1,2,2029,23
680,2019032519,야간,1,6,2208,25
681,2019032520,야간,1,1,2101,23
682,2019032521,야간,1,2,1808,01
683,2019032522,야간,1,1,1105,01
684,2019032605,야간,1,1,1412,23
685,2019032607,주간,1,1,1820,05
686,2019032609,주간,1,1,1935,21
687,2019032613,주간,1,2,1702,25
688,2019032614,주간,1,1,2701,22
689,2019032619,야간,1,1,2024,01
690,2019032619,야간,1,1,1915,01
691,2019032619,야간,1,1,1907,22
