rank,name,level,win
832,xihuan daye,244,157
833,HLE Loki ,487,368
834,불멸의무빙,240,51
835,새우깡기룩,94,201
836,mao zedoong,525,210
837,Toby Dreamditch,302,80
838,티원 탑,113,314
839,NOWA,53,108
840,뷔브이,55,75
841,폴 루,106,253
842,신지테,343,145
843,믜 진,174,393
844,sadwasdxzcx,57,108
845,고래 칭찬하는,210,203
846,T1 Yuto,341,57
847,OMG COLD,176,87
848,Chronovisor,56,151
849,Sg4n,133,118
850,20050726정글,162,122
851,BT Dosa ,347,306
852,Make It Rea1,344,155
853,rladbfh,247,137
854,트위치 백색말,235,262
855,동작중비주얼담당,61,202
856,ADKLNG GOD,127,67
857,zhh,165,128
858,탑 가엔싸개,175,73
859,RlVEN king,55,122
860,piglo,61,162
861,아야메 나키리,242,215
862,탑만가는인생,53,55
863,Griffith,307,98
864,다미웡,298,267
865,aceaco89,45,78
866,krats aira,257,151
867,생각보다강하군,304,84
868,zklqyd,111,325
869,98tiancai,57,82
870,네이름이뭐였더라,53,72
871,k범진k,294,225
872,SuperFurryFusion,95,277
873,개빡친 강주찬,311,146
874,AritirA,113,50
875,NS Carim,229,355
876,kam1satoayaka,417,67
877,쓸데없는채팅혐오,324,80
878,상사일념,58,187
879,용과호랑이용,289,106
880,IM marco,217,181
881,마석누런펭귄,260,81
882,부산대부교공결혼,232,99
883,고민이 많아,208,55
884,Rio Leon,251,289
885,블리츠크랭크,312,131
886,자메이카흑인,607,211
887,eat me do ,247,209
888,qwedsazxcv,194,61
889,102351604del,113,69
890,L1ps,171,145
891,이 쁜 채 팅,266,37
892,팀에 벽 느낌,524,111
893,토끼는우사기,254,229
894,탑딜러,294,104
895,호시니,50,97
896,틀니의호흡 제1딱,166,150
897,H Agent,709,249
898,잼 비,218,134
899,꼬마딩구리,196,115
900,snzll,451,45
901,프로겐,74,115
902,hyunwookleeC,172,276
903,서폿방해하지마요,336,337
904,아라드,217,62
905,PuIse,333,92
906,아는척자제,368,69
907,FPX q2380023067b,70,173
908,실 망,306,119
909,미소짓게만드는법,409,106
910,콩팥강도,314,116
911,레넥톤 장인,590,282
912,트위치 야무준식,307,285
913,잠꾸러긔,369,102
914,NiHuiZaiNaNeIlI,60,213
915,전령 도우미,417,135
916,chimin님,109,140
917,야스오 요네 제드 리신 비에고,68,60
918,행복했을까,512,184
919,렁 재,371,86
920,별의연인,650,65
921,볼 살,324,216
922,IAKIL,62,245
923,동국대 조경과,107,288
924,현타온 벙댕이,356,72
925,건 망 ,40,81
926,댕실댕실이,456,402
927,JGKING,138,146
928,Marigold Petal,55,116
929,Jiababe12,91,216
930,물방울,83,85
931,듀 월,73,116
932,별사탕이좋아요,493,117
933,아가서포터,172,181
934,SiDE xX,159,58
935,노틸러스서폿,307,49
936,LIVENKING,110,88
937,달인 카직스,259,188
938,tybaby,91,129
939,숨 고르기,71,107
940,bluee,161,102
941,riteleader,301,141
942,전적검색좀하지마,336,120
943,미스포츈외길인생,725,311
944,dryfIower,46,42
945,Youtube heeseong,181,75
946,나는팀원들이밉다,207,148
947,KT Castlee,435,82
948,쌔 DI,665,190
949,막내현진구름 fan,70,102
950,level,242,98
951,아침형인간9,197,211
952,dgdsxnh,61,222
953,행운의네잎클로버,51,78
954,KujoMiki,93,70
955,카시버프좀요,205,105
956,불타버린 발바닥,222,133
957,룰루랄라룰루랄리,321,65
958,huniannn,49,89
959,RyRbb,97,171
